"","run_name","out_name","grid_pth","wind_pth","volcano_name","vent_easting","vent_northing","vent_zone","vent_ht","min_ht","max_ht","min_mass","max_mass","min_dur","max_dur","constrain","nb_wind","wind_start","wind_per_day","seasonality","wind_start_rainy","wind_start_dry","constrain_eruption_date","eruption_date","constrain_wind_dir","min_wind_dir","max_wind_dir","trop_height","max_phi","min_phi","min_med_phi","max_med_phi","min_std_phi","max_std_phi","min_agg","max_agg","max_diam","long_lasting","ht_sample","mass_sample","nb_runs","write_conf","write_gs","write_fig_sep","write_fig_all","write_log_sep","write_log_all","par","par_cpu","eddy_const","diff_coeff","ft_thresh","lithic_dens","pumice_dens","col_step","part_step","alpha","beta"
"1","284160_VEI2_TephraMod_21","284160_VEI2_TephraMod_21_OUT",NA,NA,"Agrigan","359816.389139638","2075902.37104394","55","965","1","5","4.5e+08","1.8e+09",NA,NA,"1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","-0.74","-0.74","2.4","2.4","0","0","0","0",NA,NA,"10000","0","0","0","0","0","0",NA,NA,"0.04","4900","5000","2600","1000","50","50","3","1.5"
"2","264020_VEI2_TephraMod_21","264020_VEI2_TephraMod_21_OUT",NA,NA,"Agung","335705.255979302","9077472.20972158","-50","2997","1","5","4.5e+08","1.8e+09",NA,NA,"1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","-0.74","-0.74","2.4","2.4","0","0","0","0",NA,NA,"10000","0","0","0","0","0","0",NA,NA,"0.04","4900","5000","2600","1000","50","50","3","1.5"
"3","284180_VEI2_TephraMod_21","284180_VEI2_TephraMod_21_OUT",NA,NA,"Alamagan","375857.387535608","1946315.29931073","55","744","1","5","4.5e+08","1.8e+09",NA,NA,"1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","-0.74","-0.74","2.4","2.4","0","0","0","0",NA,NA,"10000","0","0","0","0","0","0",NA,NA,"0.04","4900","5000","2600","1000","50","50","3","1.5"
"4","257030_VEI2_TephraMod_21","257030_VEI2_TephraMod_21_OUT",NA,NA,"Ambae","804333.116547219","8296648.92279792","-58","1496","1","5","4.5e+08","1.8e+09",NA,NA,"1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","-0.74","-0.74","2.4","2.4","0","0","0","0",NA,NA,"10000","0","0","0","0","0","0",NA,NA,"0.04","4900","5000","2600","1000","50","50","3","1.5"
"5","266020_VEI2_TephraMod_21","266020_VEI2_TephraMod_21_OUT",NA,NA,"Ambang","658013.281316183","82923.216533511","51","1795","1","5","4.5e+08","1.8e+09",NA,NA,"1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","-0.74","-0.74","2.4","2.4","0","0","0","0",NA,NA,"10000","0","0","0","0","0","0",NA,NA,"0.04","4900","5000","2600","1000","50","50","3","1.5"
"6","254020_VEI2_TephraMod_21","254020_VEI2_TephraMod_21_OUT",NA,NA,"Ambitle","572148.186513031","9549000.64668271","-56","450","1","5","4.5e+08","1.8e+09",NA,NA,"1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","-0.74","-0.74","2.4","2.4","0","0","0","0",NA,NA,"10000","0","0","0","0","0","0",NA,NA,"0.04","4900","5000","2600","1000","50","50","3","1.5"
"7","257040_VEI2_TephraMod_21","257040_VEI2_TephraMod_21_OUT",NA,NA,"Ambrym","192140.243919908","8201244.24172655","-59","1334","1","5","4.5e+08","1.8e+09",NA,NA,"1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","-0.74","-0.74","2.4","2.4","0","0","0","0",NA,NA,"10000","0","0","0","0","0","0",NA,NA,"0.04","4900","5000","2600","1000","50","50","3","1.5"
"8","284200_VEI2_TephraMod_21","284200_VEI2_TephraMod_21_OUT",NA,NA,"Anatahan","357940.75373605","1808115.2631677","55","790","1","5","4.5e+08","1.8e+09",NA,NA,"1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","-0.74","-0.74","2.4","2.4","0","0","0","0",NA,NA,"10000","0","0","0","0","0","0",NA,NA,"0.04","4900","5000","2600","1000","50","50","3","1.5"
"9","263290_VEI2_TephraMod_21","263290_VEI2_TephraMod_21_OUT",NA,NA,"Arjuno-Welirang","673695.998189837","9144897.92702648","-49","3339","1","5","4.5e+08","1.8e+09",NA,NA,"1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","-0.74","-0.74","2.4","2.4","0","0","0","0",NA,NA,"10000","0","0","0","0","0","0",NA,NA,"0.04","4900","5000","2600","1000","50","50","3","1.5"
"10","284150_VEI2_TephraMod_21","284150_VEI2_TephraMod_21_OUT",NA,NA,"Asuncion","332898.802565151","2175857.42394246","55","857","1","5","4.5e+08","1.8e+09",NA,NA,"1",NA,NA,"4","0","0","0","0","0","0","0","0","17000","-6","7","-0.74","-0.74","2.4","2.4","0","0","0","0",NA,NA,"10000","0","0","0","0","0","0",NA,NA,"0.04","4900","5000","2600","1000","50","50","3","1.5"
